,,,,,,,,,,,
,cardName,setName,foil,qtyOwned,buyPrice,sellPrice,buyMerchant,sellMerchant,buyQty,sellQty,spread
,Thunder-Thrash Elder,Shards of Alara,1,1,0.1,0.35,Bulk,tcgplayer,99,,%
,Tower Gargoyle,Shards of Alara,1,1,0.1,0.32,Bulk,tcgplayer,99,,%
,Uproot,Betrayers of Kamigawa,1,1,0.1,0.25,Bulk,channelfireball,99,20,%
,Valor Made Real,Dissension,1,1,0.1,0.25,Bulk,channelfireball,99,12,%
,Vigean Graftmage,Dissension,1,1,0.1,0.49,Bulk,cardkingdom,99,8,%
,Vorrac Battlehorns,Mirrodin,1,1,0.1,0.42,Bulk,tcgplayer,99,,%
,Wildsize,Guildpact,1,1,0.1,0.34,Bulk,tcgplayer,99,,%
,Zealous Inquisitor,Scourge,1,1,0.1,0.25,Bulk,channelfireball,99,16,%
,Zombie Musher,Coldsnap,1,1,0.1,0.34,Bulk,tcgplayer,99,,%
,Thunder-Thrash Elder,Planechase 2012 Edition,0,1,0.06,0.23,cardkingdom,tcgplayer,6,,%
,Rally the Peasants,Innistrad,0,1,0.0125,0.2,Bulk,tcgplayer,99,,%
,Timbermaw Larva,Zendikar,0,1,0.01,0.14,mtgseattle,tcgplayer,0,,%
